date_releve,marque,modele,nb_total,nb_electrique,proportion_electrique
2026-07-08T14:36:42,Dacia,JOGGER,8,0,0.0
2026-07-08T14:36:42,Dacia,Jogger,0,0,0.0
2026-07-08T14:36:42,Dacia,Logan,1,0,0.0
2026-07-08T14:36:42,Dacia,SPRING,18,18,1.0
2026-07-08T14:36:42,Dacia,Sandero,24,0,0.0
2026-07-08T14:36:42,Fiat,500,39,25,0.641
2026-07-08T14:36:42,Fiat,500 L,1,0,0.0
2026-07-08T14:36:42,Fiat,500C,5,2,0.4
2026-07-08T14:36:42,Fiat,500X,10,0,0.0
2026-07-08T14:36:42,Fiat,600,14,1,0.0714
2026-07-08T14:36:42,Fiat,DUCATO FOURGON,1,0,0.0
2026-07-08T14:36:42,Fiat,Panda,6,0,0.0
2026-07-08T14:36:42,Fiat,Pandina,2,0,0.0
2026-07-08T14:36:42,Fiat,Tipo,3,0,0.0
2026-07-08T14:36:42,Fiat,Tipo Cross,1,0,0.0
2026-07-08T14:36:42,Fiat,Tipo SW,1,0,0.0
2026-07-08T14:36:42,Ford,Ecosport,1,0,0.0
2026-07-08T14:36:42,Ford,Fiesta,14,0,0.0
2026-07-08T14:36:42,Ford,Focus,15,0,0.0
2026-07-08T14:36:42,Ford,Focus SW,7,0,0.0
2026-07-08T14:36:42,Ford,Fusion,1,0,0.0
2026-07-08T14:36:42,Ford,Kuga,7,0,0.0
2026-07-08T14:36:42,Ford,Mondeo,1,0,0.0
2026-07-08T14:36:42,Ford,Mustang MACH-E,1,1,1.0
2026-07-08T14:36:42,Ford,PUMA,45,0,0.0
2026-07-08T14:36:42,Ford,Puma,0,0,0.0
2026-07-08T14:36:42,Ford,TOURNEO COURIER,1,0,0.0
2026-07-08T14:36:42,Honda,CR-V,2,0,0.0
2026-07-08T14:36:42,Honda,Civic,2,0,0.0
2026-07-08T14:36:42,Honda,HR-V,1,0,0.0
2026-07-08T14:36:42,Honda,Jazz,1,0,0.0
2026-07-08T14:36:42,Hyundai,BAYON,1,0,0.0
2026-07-08T14:36:42,Hyundai,Ioniq,1,0,0.0
2026-07-08T14:36:42,Hyundai,Kona,14,4,0.2857
2026-07-08T14:36:42,Hyundai,Tucson,31,0,0.0
2026-07-08T14:36:42,Hyundai,i10,4,0,0.0
2026-07-08T14:36:42,Hyundai,i20,1,0,0.0
2026-07-08T14:36:42,Hyundai,i20 ACTIVE,1,0,0.0
2026-07-08T14:36:42,Hyundai,i30,1,0,0.0
2026-07-08T14:36:42,Infiniti,Q30,1,0,0.0
2026-07-08T14:36:42,Jaecoo,Jaecoo 7,3,0,0.0
2026-07-08T14:36:42,Jaguar,I-Pace,1,1,1.0
2026-07-08T14:36:42,Jeep,Avenger,25,11,0.44
2026-07-08T14:36:42,Jeep,Compass,14,0,0.0
2026-07-08T14:36:42,Jeep,Renegade,19,0,0.0
2026-07-08T14:36:42,Kia,Ceed,6,0,0.0
2026-07-08T14:36:42,Kia,Ceed SW,1,0,0.0
2026-07-08T14:36:42,Kia,EV3,1,1,1.0
2026-07-08T14:36:42,Kia,Niro,3,2,0.6667
2026-07-08T14:36:42,Kia,Picanto,1,0,0.0
2026-07-08T14:36:42,Kia,ProCeed,5,0,0.0
2026-07-08T14:36:42,Kia,Rio,2,0,0.0
2026-07-08T14:36:42,Kia,Sportage,12,0,0.0
2026-07-08T14:36:42,Kia,Stonic,8,0,0.0
2026-07-08T14:36:42,Kia,XCEED,5,0,0.0
2026-07-08T14:36:42,Kia,Xceed,0,0,0.0
2026-07-08T14:36:42,Lancia,Ypsilon,1,0,0.0
2026-07-08T14:36:42,Lexus,UX,2,0,0.0
2026-07-08T14:36:42,Lynk&Co,01,5,0,0.0
2026-07-08T14:36:42,MG,EHS,16,0,0.0
2026-07-08T14:36:42,MG,MG3,20,0,0.0
2026-07-08T14:36:42,MG,MG4,8,8,1.0
2026-07-08T14:36:42,MG,MG5,3,3,1.0
2026-07-08T14:36:42,MG,MGS5,3,3,1.0
2026-07-08T14:36:42,MG,ZS,24,2,0.0833
2026-07-08T14:36:42,Mazda,CX-30,1,0,0.0
2026-07-08T14:36:42,Mazda,CX-5,1,0,0.0
2026-07-08T14:36:42,Mazda,CX-80,1,0,0.0
2026-07-08T14:36:42,Mazda,MX-30,1,1,1.0
2026-07-08T14:36:42,Mazda,MX-30 2020,1,1,1.0
2026-07-08T14:36:42,Mazda,MX-5,4,0,0.0
2026-07-08T14:36:42,Mazda,Mazda 3,2,0,0.0
2026-07-08T14:36:42,Mercedes,CLA,1,0,0.0
2026-07-08T14:36:42,Mercedes,CLA Shooting Brake,5,0,0.0
2026-07-08T14:36:42,Mercedes,CLASSE C BREAK,1,0,0.0
2026-07-08T14:36:42,Mercedes,CLK Cabriolet,1,0,0.0
2026-07-08T14:36:42,Mercedes,Classe A,17,0,0.0
2026-07-08T14:36:42,Mercedes,Classe B,2,0,0.0
2026-07-08T14:36:42,Mercedes,Classe C,2,0,0.0
2026-07-08T14:36:42,Mercedes,Classe C coupé,1,0,0.0
2026-07-08T14:36:42,Mercedes,Classe E Break,2,0,0.0
2026-07-08T14:36:42,Mercedes,Classe E Coupé,1,0,0.0
2026-07-08T14:36:42,Mercedes,GLA,3,0,0.0
2026-07-08T14:36:42,Mercedes,GLB,1,0,0.0
2026-07-08T14:36:42,Mini,Clubman,4,0,0.0
2026-07-08T14:36:42,Mini,Countryman,18,2,0.1111
2026-07-08T14:36:42,Mini,Mini,9,2,0.2222
2026-07-08T14:36:42,Mitsubishi,Space Star,1,0,0.0
2026-07-08T14:36:42,Nissan,Juke,20,0,0.0
2026-07-08T14:36:42,Nissan,Leaf,1,1,1.0
2026-07-08T14:36:42,Nissan,Micra,2,0,0.0
2026-07-08T14:36:42,Nissan,Qashqai,26,0,0.0
2026-07-08T14:36:42,Nissan,X-Trail,2,0,0.0
2026-07-08T14:36:42,Opel,ASTRA ELECTRIQUE,1,1,1.0
2026-07-08T14:36:42,Opel,Adam,1,0,0.0
2026-07-08T14:36:42,Opel,Astra,4,0,0.0
2026-07-08T14:36:42,Opel,Astra Sports Tourer,4,0,0.0
2026-07-08T14:36:42,Opel,COMBO CARGO,1,0,0.0
2026-07-08T14:36:42,Opel,Combo Fourgon,1,0,0.0
2026-07-08T14:36:42,Opel,Corsa,41,6,0.1463
2026-07-08T14:36:42,Opel,Crossland,10,0,0.0
2026-07-08T14:36:42,Opel,Crossland X,9,0,0.0
2026-07-08T14:36:42,Opel,FRONTERA,5,3,0.6
2026-07-08T14:36:42,Opel,GRANDLAND,4,0,0.0
2026-07-08T14:36:42,Opel,Grandland X,9,0,0.0
2026-07-08T14:36:42,Opel,INSIGNIA GRAND SPORT,1,0,0.0
2026-07-08T14:36:42,Opel,Insignia Sports Tourer,2,0,0.0
2026-07-08T14:36:42,Opel,Karl,1,0,0.0
2026-07-08T14:36:42,Opel,Mokka,31,16,0.5161
2026-07-08T14:36:42,Opel,Mokka X,1,0,0.0
2026-07-08T14:36:42,Peugeot,107,1,0,0.0
2026-07-08T14:36:42,Peugeot,108,12,0,0.0
2026-07-08T14:36:42,Peugeot,2008,190,34,0.1789
2026-07-08T14:36:42,Peugeot,208,110,28,0.2545
2026-07-08T14:36:42,Peugeot,208 AFFAIRE,2,0,0.0
2026-07-08T14:36:42,Peugeot,3008,145,3,0.0207
2026-07-08T14:36:42,Peugeot,308,89,6,0.0674
2026-07-08T14:36:42,Peugeot,308 AFFAIRE,2,0,0.0
2026-07-08T14:36:42,Peugeot,308 SW,27,1,0.037
2026-07-08T14:36:42,Peugeot,408,33,3,0.0909
2026-07-08T14:36:42,Peugeot,5008,73,0,0.0
2026-07-08T14:36:42,Peugeot,508,6,0,0.0
2026-07-08T14:36:42,Peugeot,508 SW,8,0,0.0
2026-07-08T14:36:42,Peugeot,Boxer,1,0,0.0
2026-07-08T14:36:42,Peugeot,Boxer Fourgon,2,0,0.0
2026-07-08T14:36:42,Peugeot,Expert Fourgon,4,0,0.0
2026-07-08T14:36:42,Peugeot,Partner Tepee,1,0,0.0
2026-07-08T14:36:42,Peugeot,RIFTER,0,0,0.0
2026-07-08T14:36:42,Peugeot,Rifter,7,0,0.0
2026-07-08T14:36:42,Renault,Arkana,30,0,0.0
2026-07-08T14:36:42,Renault,Austral,39,0,0.0
2026-07-08T14:36:42,Renault,Captur,88,0,0.0
2026-07-08T14:36:42,Renault,Clio 4,6,0,0.0
2026-07-08T14:36:42,Renault,Clio 5,89,0,0.0
2026-07-08T14:36:42,Renault,Clio 6,8,0,0.0
2026-07-08T14:36:42,Renault,Clio Société,1,0,0.0
2026-07-08T14:36:42,Renault,EXPRESS VAN,1,0,0.0
2026-07-08T14:36:42,Renault,Espace 5,1,0,0.0
2026-07-08T14:36:42,Renault,Espace 6,2,0,0.0
2026-07-08T14:36:42,Renault,Grand Scenic 4,0,0,0.0
2026-07-08T14:36:42,Renault,Grand Scénic 4,6,0,0.0
2026-07-08T14:36:42,Renault,Kadjar,15,0,0.0
2026-07-08T14:36:42,Renault,Kangoo,2,0,0.0
2026-07-08T14:36:42,Renault,Kangoo Express,1,0,0.0
2026-07-08T14:36:42,Renault,Koleos,1,0,0.0
2026-07-08T14:36:42,Renault,Master Fourgon,1,0,0.0
2026-07-08T14:36:42,Renault,Mégane 3,1,0,0.0
2026-07-08T14:36:42,Renault,Mégane 4,19,0,0.0
2026-07-08T14:36:42,Renault,Mégane 4 Estate,6,0,0.0
2026-07-08T14:36:42,Renault,Mégane E-TECH,6,6,1.0
2026-07-08T14:36:42,Renault,R4,6,6,1.0
2026-07-08T14:36:42,Renault,R5,46,46,1.0
2026-07-08T14:36:42,Renault,Rafale,9,0,0.0
2026-07-08T14:36:42,Renault,Scénic 4,10,0,0.0
2026-07-08T14:36:42,Renault,Scénic E-Tech,11,11,1.0
2026-07-08T14:36:42,Renault,Symbioz,32,0,0.0
2026-07-08T14:36:42,Renault,TWINGO,1,1,1.0
2026-07-08T14:36:42,Renault,TWINGO E-TECH ELECTRIQUE,1,1,1.0
2026-07-08T14:36:42,Renault,Talisman,1,0,0.0
2026-07-08T14:36:42,Renault,Talisman Estate,1,0,0.0
2026-07-08T14:36:42,Renault,Trafic,3,0,0.0
2026-07-08T14:36:42,Renault,Twingo 3,11,8,0.7273
2026-07-08T14:36:42,Renault,Twizy,2,2,1.0
2026-07-08T14:36:42,Renault,Wind,1,0,0.0
2026-07-08T14:36:42,Renault,Zoé,16,16,1.0
2026-07-08T14:36:42,Seat,Arona,5,0,0.0
2026-07-08T14:36:42,Seat,Ateca,9,0,0.0
2026-07-08T14:36:42,Seat,Ibiza,6,0,0.0
2026-07-08T14:36:42,Seat,Leon,4,0,0.0
2026-07-08T14:36:42,Seat,Leon ST,2,0,0.0
2026-07-08T14:36:42,Skoda,ENYAQ,2,2,1.0
2026-07-08T14:36:42,Skoda,FABIA COMBI,1,0,0.0
2026-07-08T14:36:42,Skoda,Fabia,3,0,0.0
2026-07-08T14:36:42,Skoda,KAMIQ,0,0,0.0
2026-07-08T14:36:42,Skoda,Kamiq,5,0,0.0
