date_releve;marque;nb_total;nb_electrique;proportion_electrique
2026-07-08T12:56:02;Alfa Romeo;28;5;0.1786
2026-07-08T12:56:02;Alpine;1;1;1.0
2026-07-08T12:56:02;Audi;59;2;0.0339
2026-07-08T12:56:02;BMW;55;4;0.0727
2026-07-08T12:56:02;BYD;23;5;0.2174
2026-07-08T12:56:02;Citroën;275;39;0.1418
2026-07-08T12:56:02;Cupra;22;1;0.0455
2026-07-08T12:56:02;DS;75;2;0.0267
2026-07-08T12:56:02;Dacia;155;18;0.1161
2026-07-08T12:56:02;Fiat;87;33;0.3793
2026-07-08T12:56:02;Ford;94;1;0.0106
2026-07-08T12:56:02;Honda;7;0;0.0
2026-07-08T12:56:02;Hyundai;55;4;0.0727
2026-07-08T12:56:02;Infiniti;1;0;0.0
2026-07-08T12:56:02;Jaecoo;4;0;0.0
2026-07-08T12:56:02;Jaguar;1;1;1.0
2026-07-08T12:56:02;Jeep;58;12;0.2069
2026-07-08T12:56:02;Kia;45;3;0.0667
2026-07-08T12:56:02;Lancia;1;0;0.0
2026-07-08T12:56:02;Lexus;2;0;0.0
2026-07-08T12:56:02;Lynk&Co;5;0;0.0
2026-07-08T12:56:02;MG;72;16;0.2222
2026-07-08T12:56:02;Mazda;11;2;0.1818
2026-07-08T12:56:02;Mercedes;38;0;0.0
2026-07-08T12:56:02;Mini;31;4;0.129
2026-07-08T12:56:02;Mitsubishi;1;0;0.0
2026-07-08T12:56:02;Nissan;52;1;0.0192
2026-07-08T12:56:02;Opel;125;26;0.208
2026-07-08T12:56:02;Peugeot;709;78;0.11
2026-07-08T12:56:02;Renault;470;97;0.2064
2026-07-08T12:56:02;Seat;26;0;0.0
2026-07-08T12:56:02;Skoda;32;2;0.0625
2026-07-08T12:56:02;Smart;11;9;0.8182
2026-07-08T12:56:02;Suzuki;6;0;0.0
2026-07-08T12:56:02;Tesla;24;24;1.0
2026-07-08T12:56:02;Toyota;84;0;0.0
2026-07-08T12:56:02;Volkswagen;155;6;0.0387
2026-07-08T12:56:02;Volvo;26;4;0.1538
2026-07-08T15:07:17,Alfa Romeo,29,5,0.1724
2026-07-08T15:07:17,Alpine,1,1,1.0
2026-07-08T15:07:17,Audi,59,2,0.0339
2026-07-08T15:07:17,BMW,55,4,0.0727
2026-07-08T15:07:17,BYD,23,5,0.2174
2026-07-08T15:07:17,Citroën,279,39,0.1398
2026-07-08T15:07:17,Cupra,22,1,0.0455
2026-07-08T15:07:17,DS,73,2,0.0274
2026-07-08T15:07:17,Dacia,161,18,0.1118
2026-07-08T15:07:17,Fiat,88,33,0.375
2026-07-08T15:07:17,Ford,94,1,0.0106
2026-07-08T15:07:17,Honda,6,0,0.0
2026-07-08T15:07:17,Hyundai,54,4,0.0741
2026-07-08T15:07:17,Infiniti,1,0,0.0
2026-07-08T15:07:17,Jaecoo,1,0,0.0
2026-07-08T15:07:17,Jaguar,1,1,1.0
2026-07-08T15:07:17,Jeep,58,11,0.1897
2026-07-08T15:07:17,Kia,44,3,0.0682
2026-07-08T15:07:17,Lancia,1,0,0.0
2026-07-08T15:07:17,Lexus,2,0,0.0
2026-07-08T15:07:17,Lynk&Co,5,0,0.0
2026-07-08T15:07:17,MG,74,16,0.2162
2026-07-08T15:07:17,Mazda,11,2,0.1818
2026-07-08T15:07:17,Mercedes,37,0,0.0
2026-07-08T15:07:17,Mini,31,4,0.129
2026-07-08T15:07:17,Mitsubishi,1,0,0.0
2026-07-08T15:07:17,Nissan,51,1,0.0196
2026-07-08T15:07:17,Opel,126,26,0.2063
2026-07-08T15:07:17,Peugeot,714,75,0.105
2026-07-08T15:07:17,Renault,475,97,0.2042
2026-07-08T15:07:17,Seat,26,0,0.0
2026-07-08T15:07:17,Skoda,32,2,0.0625
2026-07-08T15:07:17,Smart,11,9,0.8182
2026-07-08T15:07:17,Suzuki,6,0,0.0
2026-07-08T15:07:17,Tesla,23,23,1.0
2026-07-08T15:07:17,Toyota,82,0,0.0
2026-07-08T15:07:17,Volkswagen,155,6,0.0387
2026-07-08T15:07:17,Volvo,26,4,0.1538
